No,약어,영문/원문,한글 해석
1861,Organization Structure,"SAP를 올바로 활용하기 위해서는 각 모듈별로 존재하는 조직구조와 관련된 코드들의 의미와 활용방법을 정확히 이해하고 이를 회사의 실정에 맞도록 구성하는 것이 매우 중요하다. 이러한 각 모듈들의 조직구조와 관련된 코드들을 총칭하여 Organization Structure라고 한다.한편 하나의 모듈에 존재하는 하나의 조직구조는 다른 모듈의 조직구조와 연관성을 갖게 되는데, 이렇게 하나의 조직구조 관련 코드가 다른 코드와 연결관계를 갖는 것을 Assignment 라고 한다. 특히 Integration 환경하에서의 조직구조의 Assignment 작업이 매우 중요하다.회사의 실제 조직 구조들을 SAP가 표준으로 제공하고 있는 조직 구조들과 어떻게 mapping을 하여 각 모듈들을 어떻게 활용할 것인가를 정하는 작업은 특히 Enterprise Modeling 이라고도 한다. Enterprise Modeling 단계에서는 회사의 조직구조를 여러 View (재무회계,관리회계,자금,물류 등)에서 정리하고, 각 조직 level이 원하는 정보요건(예사업부별 재무제표의 산출 등)을 정의 후, SAP에 존재하는 조직코드와 그것들이 제공할 수 있는 정보들을 감안하여 작업을 진행한다. Enterprise Modeling은 이후의 Implementation 전체의 작업에 영향을 미치므로 매우 신중하게 결정을 하여야 한다.","SAP를 올바로 활용하기 위해서는 각 모듈별로 존재하는 조직구조와 관련된 코드들의 의미와 활용방법을 정확히 이해하고 이를 회사의 실정에 맞도록 구성하는 것이 매우 중요하다. 이러한 각 모듈들의 조직구조와 관련된 코드들을 총칭하여 Organization Structure라고 한다.한편 하나의 모듈에 존재하는 하나의 조직구조는 다른 모듈의 조직구조와 연관성을 갖게 되는데, 이렇게 하나의 조직구조 관련 코드가 다른 코드와 연결관계를 갖는 것을 Assignment 라고 한다. 특히 Integration 환경하에서의 조직구조의 Assignment 작업이 매우 중요하다.회사의 실제 조직 구조들을 SAP가 표준으로 제공하고 있는 조직 구조들과 어떻게 mapping을 하여 각 모듈들을 어떻게 활용할 것인가를 정하는 작업은 특히 Enterprise Modeling 이라고도 한다. Enterprise Modeling 단계에서는 회사의 조직구조를 여러 View (재무회계,관리회계,자금,물류 등)에서 정리하고, 각 조직 level이 원하는 정보요건(예사업부별 재무제표의 산출 등)을 정의 후, SAP에 존재하는 조직코드와 그것들이 제공할 수 있는 정보들을 감안하여 작업을 진행한다. Enterprise Modeling은 이후의 Implementation 전체의 작업에 영향을 미치므로 매우 신중하게 결정을 하여야 한다."
1862,Organization Structure of Accounting,"Business Area는 Company Code와는 달리 그 자체로서 차/대 균형이 맞는 재무제표가 보장되지 않는다는 점에 유의해야 한다. 즉, 차/대변의 Business Area가 서로 다르거나 어느 한 쪽이라도 Business Area가 없이 기표되는 경우에는 특정 Business Area를 중심으로 하여 차/대 균형이 맞는 재무제표가 산출될 수 없다. SAP는 이러한 경우 차/대 균형을 맞출수 있는 분개를 추가적으로 자동 생성하여 주는 일종의 결산기능을 제공하여 주고 있는데, 이를 Business Area Breakdown (자동조정분개작업) 이라고 한다.참고로 관리회계(CO)의 Profit Center를 기준으로 하여 재무제표를 산출할 수도 있다. 그러나 이 경우 본래의 목적은 주요 계정(매출채권, 매입채무, 고정자산, 재고자산 등)의 잔액을 책임회계단위(Profit Center)를 기준으로 집계하여 ROI(Return on Investment) 등을 계산하기 위한 것이므로, 차/대 균형이 맞는 대차대조표의 산출을 기대하기 어렵다. 여기서 Profit Center와 관련된 구체적인 내용은 생략 한다.한편 연결회계(CS  Consolidation)에서는 Company라는 단위가 사용되는데, 이는 연결재무제표작성의 단위로서 여러 Company Code가 하나의 Company에 지정되게 된다.","Business Area는 Company Code와는 달리 그 자체로서 차/대 균형이 맞는 재무제표가 보장되지 않는다는 점에 유의해야 한다. 즉, 차/대변의 Business Area가 서로 다르거나 어느 한 쪽이라도 Business Area가 없이 기표되는 경우에는 특정 Business Area를 중심으로 하여 차/대 균형이 맞는 재무제표가 산출될 수 없다. SAP는 이러한 경우 차/대 균형을 맞출수 있는 분개를 추가적으로 자동 생성하여 주는 일종의 결산기능을 제공하여 주고 있는데, 이를 Business Area Breakdown (자동조정분개작업) 이라고 한다.참고로 관리회계(CO)의 Profit Center를 기준으로 하여 재무제표를 산출할 수도 있다. 그러나 이 경우 본래의 목적은 주요 계정(매출채권, 매입채무, 고정자산, 재고자산 등)의 잔액을 책임회계단위(Profit Center)를 기준으로 집계하여 ROI(Return on Investment) 등을 계산하기 위한 것이므로, 차/대 균형이 맞는 대차대조표의 산출을 기대하기 어렵다. 여기서 Profit Center와 관련된 구체적인 내용은 생략 한다.한편 연결회계(CS  Consolidation)에서는 Company라는 단위가 사용되는데, 이는 연결재무제표작성의 단위로서 여러 Company Code가 하나의 Company에 지정되게 된다."
1863,Original document,기표가 정확함을 증명하는 역할을 하는 증빙.,표기의 정확성을 입증하는 증빙 자료
1864,OS&D,"<span style=""font-size: 10pt; font-family: Pretendard;"">Overrun, Shortage &amp; Defect</span>","과잉 생산, 부족 및 결함"
1865,OSR,Order Summary Report,주문 요약 보고서
1866,OT,Over Time,잔업 시간
1867,OTA,Over The Air,무선 방식으로 (펌웨어나 소프트웨어 등을) 업데이트하는 방식
1868,OTB,Open-To-Buy,오픈 투 바이
1869,OTD,On Time Delivery,정시 납품
1870,OTH,Terminal Handling Charge At Origin,출발지 터미널 취급 수수료
1871,OTL,On The Line,On The Line
1872,OTP,On Time Percentage,정시 달성률
1873,OTP,Organizational Talent Planning,조직 인재 계획
1874,OTP,On Time Delivery Performance,정시 납품 실적
1875,OTP,Organizational Talent Planning,조직 인재 기획
1876,OTS,Organized Team Sports,조직적인 팀 스포츠
1877,Outgoing,"자재, 반제품, 제품이 공정이나 창고에서 출고 (창신 용어)Passcard의 Event 상태를 구분하기 위해서 사 - Incoming (공정, 창고로의 입고 - Input (공정 투입 - Production (공정 완료 - 생산완료 - Outgoing (공정, 창고로부터의 출고Passcard Scan시 ITPO상태를 구분함으로써 공정흐름 구분","자재, 반제품, 제품이 공정이나 창고에서 출고될 때(창신 용어) Passcard의 Event 상태를 구분하기 위해  
- 사: Incoming (공정·창고로의 입고)  
- Input: 공정 투입  
- Production: 공정 완료·생산 완료  
- Outgoing: 공정·창고로부터의 출고  

Passcard Scan 시 ITPO 상태를 구분함으로써 공정 흐름을 구분함."
1878,Outline agreement,＂contracts＂와 ＂scheduling agreements＂에 대한 SAP의 포괄적인 용어. Outline agreement는 지정 조건에 따라 material이나 용역의 공급과 관련하여 vendor(외부공급자)와 맺는 장기협정이다. 협정은 정의된 기간에 대한 공급 물품/용역의 총량이나 전체 금액으로 이루어진다. Release order나 delivery schedule을 발행하는 각각의 절차에 material이 배달되어야 하는(혹은 작업이 수행되거나 용역이 제공되어야 하는) 날자를 지정한다.,"SAP에서 ""contracts""와 ""scheduling agreements""를 포괄하는 용어. Outline agreement는 특정 조건에 따라 자재나 용역의 공급과 관련해 vendor(외부 공급자)와 체결하는 장기 협정이다. 이 협정은 정의된 기간 동안 공급될 자재/용역의 총 수량 또는 총 금액으로 구성된다. Release order나 delivery schedule을 발행하는 각 절차에서 자재가 납품되어야 하는 날짜(또는 작업이 수행되거나 용역이 제공되어야 하는 날짜)를 지정한다."
1879,Output tax,생산이나 매매의 경우 고객에게 부과되는 세금. 과세당국에 납부할 금액이 된다.,생산이나 매매의 경우 고객에게 부과되는 세금. 과세당국에 납부할 금액이 된다.
1880,OWR,Other Wrestling,기타 레슬링
1881,OWT,Other Weightlifting,Other Weightlifting
1882,OYF,On Your Feet,On Your Feet
1883,P&L,Packing And Labelling,Packing And Labelling
1884,P&L,Profit &amp; Loss,손익
1885,P/L,Packing List,패킹 리스트
1886,P/L,Packing Labeling,포장 라벨링
1887,P2,Pollution Prevention,오염 예방
1888,P2P,Pay To Play,유료 참여 모델
1889,P2P,Peer to Peer,동료 간 직접 연결 방식 (Peer to Peer)
1890,PA,Profitability analysis 약어,수익성 분석
1891,PA,Purchase Alignment,구매 정합성
1892,PA,Provisional Approval,잠정 승인
1893,PA,Production Alignment,생산 정합
1894,PAG,Partner Arrangement Governance,파트너 계약 거버넌스
1895,PAMM,Product Approval Merchandising Meeting,제품 승인 머천다이징 미팅
1896,Partial confirmation,부분 확정은 아직 처리중인 operation에 대하여 수행한다.,Partial confirmation is performed for operations that are still in progress.
1897,Partial payment,미결된 invoice금액의 일부만을 지급하는 것.,Partially paying an outstanding invoice amount.
1898,Partner,"sold-to party(주문처), payer(지불처), sales employee(영업담당자), ship-to party(인도처) 등의 정보를 볼수 있는 view","sold-to party(주문처), payer(지불처), sales employee(영업담당자), ship-to party(인도처) 등의 정보를 볼수 있는 view"
1899,PasS,Platform as a Service,서비스형 플랫폼
1900,Payables,"은행차입금, 매입채무, 선수금과 같은 회사의 확정된 부채로서 발생원인, 금액, 만기일 등이 관련된다.","It is a company’s fixed liabilities such as bank loans, accounts payable, and advances received, for which the cause of occurrence, amount, and maturity date are specified."
1901,Payment method,"대금처리를 어떻게 할 것인가(지불절차)를 의미함. 즉, 수표, 어음, 계좌이체 등을 이용한 외화지급 등이 있다.","How payment will be processed (payment procedure). For example, foreign currency payments using checks, bills of exchange, bank transfers, etc."
1902,Payment term,수금 관리 형태,수금 관리 형태
1903,PBI,Pre-Build In,빌드 전 인-House 작업
1904,PBO,Pre-Build Out,사전 Build Out
1905,PBPD,Polymer Bound Pre-Dispersion (Form),중합체 결합형 사전 분산(폼)
1906,PBR,Price-Book Value Ratio,주가순자산비율
1907,PBT,Profit Before Tax,법인세 차감전 이익
1908,PC,Pouchen,Pouchen
1909,PC,Political Correctness,Political Correctness
1910,PCA,Product Creation Analyst,Product Creation Analyst
1911,PCB,Polychlorinated Biphenyl,Polychlorinated Biphenyl
1912,PCC,Product Creation Center,Product Creation Center
1913,PCCC,Phòng Cháy Chữa Cháy,화재 예방 및 진압
1914,PCD,Product Creation Director,Product Creation Director
1915,PCE,Process Cycle Efficiency,공정 사이클 효율
1916,PCI,Product Creation Immersion,Product Creation 몰입 과정
1917,PCM,Product Configuration Management,제품 구성 관리
1918,PCM,Product Costing Manager,Product Costing Manager
1919,PCMF,Partner Capability Maturity Framework,Partner Capability Maturity Framework
1920,PCO,Product Creation Optimization,Product Creation 최적화
1921,PCOD,Product Creation Operation Director,Product Creation Operation Director
1922,PCR,Polymerase Chain Reaction,Polymerase Chain Reaction
1923,PCS,Product Confirmation Sample,Product Confirmation Sample
1924,PCT,Product Creation Team,Product Creation Team
1925,PCX,Product Creation Excellence,Product Creation Excellence
1926,PDCA,"Plan, Do, Check, Act/Adjust","계획, 실행, 점검, 조치/조정"
1927,PDF,Portable Document Format,포터블 문서 형식
1928,PDL,Process Development Lab,Process Development Lab
1929,PDM,Product Data Management,제품 데이터 관리
1930,PDM,Product Development Manager,Product Development Manager
1931,PDS,Petroleum Derived Solvent,Petroleum Derived Solvent
1932,PE,Pattern Engineer,Pattern Engineer
1933,PEAC,Product Excellence Alignment And Calibration,제품 우수성 정렬 및 기준 조정
1934,PEM,Partner Engagement Meeting,Partner Engagement Meeting
1935,PEOD,Product Engineering Operations Director,Product Engineering Operations Director
1936,PER,Pattern Efficiency Report,패턴 효율성 리포트
1937,PER,Price Earning Ratio,주가수익비율
1938,PES,Product Engine Solutions,Product Engine Solutions
1939,PET,Polyethylene Terephthalate,폴리에틸렌 테레프탈레이트
1940,PETS,Previous Estimated Time Of Shipment,이전 예상 선적일
1941,PF Strategy,Power Franchise Strategy,Power Franchise Strategy
1942,PFC,Process Flow Chart,Process Flow Chart
1943,PFO,Process Flow Optimization,공정 흐름 최적화
1944,PGP,Product Game Plan,Product Game Plan
1945,PGP,Program Parameter,프로그램 파라미터
1946,PHK,Phil H Knight,Phil H Knight
1947,PHK,"나이키 미국 본사 캠퍼스명이 2025년 10월에 변경되었음<br />변경 전: WHQ (World Headquarter)<br />변경 후: PHK (Phil Hampson Knight) - 나이키 설립자, 명예 회장. 오레곤 대학의 Bill Bowerman 코치 밑에서 육상 클럽의 일원이었고, 나중에 나이키를 공동 설립함","나이키 미국 본사 캠퍼스명이 2025년 10월에 변경되었음<br />변경 전: WHQ (World Headquarter)<br />변경 후: PHK (Phil Hampson Knight) - 나이키 설립자, 명예 회장. 오레곤 대학의 Bill Bowerman 코치 밑에서 육상 클럽의 일원이었고, 나중에 나이키를 공동 설립함"
1948,PHR,Parts Per Hundred Rubber Hydrocarbon,고무 탄화수소 100부당 부품 수
1949,PHR,Professional in Human Resources,인사 분야 전문가
1950,PI,Process Innovation,Process Innovation
1951,PI,Product Integrity,제품 인테그리티
1952,PI,Production Issue,생산 이슈
1953,PI,Productivity Incentive,생산성 인센티브
1954,PIA,Product Integrity Auditor,Product Integrity Auditor
1955,PIC,Person In Charge,담당자
1956,Picking,판매나 생산부서의 소요량에 근거하여 material을 창고에서 출고처리 한다. Picking은 이전주문(transfer orders)이나 picking list를 통해 발생된다.,판매나 생산 부서의 소요량에 근거하여 창고에서 material을 출고 처리한다. Picking은 이전 주문(transfer orders)이나 picking list를 통해 발생한다.
